Start time: 1747685238657
Connecting to host 34.145.166.89, port 5210
[  5] local 192.0.0.2 port 41376 connected to 34.145.166.89 port 5210
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   4.50-4.60   sec  1.25 MBytes   106 Mbits/sec    0   2.43 MBytes       
[  5]   4.60-4.70   sec  0.00 Bytes  0.00 bits/sec    0   2.43 MBytes       
[  5]   4.70-4.80   sec  1.25 MBytes   106 Mbits/sec    0   2.43 MBytes       
[  5]   4.80-4.90   sec  1.25 MBytes   104 Mbits/sec    0   2.43 MBytes       
[  5]   4.90-5.00   sec  1.25 MBytes   105 Mbits/sec    0   2.43 MBytes       
[  5]   5.00-5.10   sec  0.00 Bytes  0.00 bits/sec    0   2.43 MBytes       
[  5]   5.10-5.20   sec  1.25 MBytes   105 Mbits/sec    0   2.43 MBytes       
[  5]   5.20-5.30   sec  1.25 MBytes   105 Mbits/sec    0   2.43 MBytes       
[  5]   5.30-5.40   sec  1.25 MBytes   104 Mbits/sec    0   2.43 MBytes       
[  5]   5.40-5.50   sec  0.00 Bytes  0.00 bits/sec    0   2.43 MBytes       
[  5]   5.50-5.60   sec  1.25 MBytes   105 Mbits/sec    0   2.43 MBytes       
[  5]   5.60-5.70   sec  1.25 MBytes   105 Mbits/sec    0   2.43 MBytes       
[  5]   5.70-5.80   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   5.80-5.90   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   5.90-6.00   sec  1.25 MBytes   103 Mbits/sec    0   2.45 MBytes       
[  5]   6.00-6.10   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   6.10-6.20   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   6.20-6.30   sec  1.25 MBytes   104 Mbits/sec    0   2.45 MBytes       
[  5]   6.30-6.40   sec  1.25 MBytes   106 Mbits/sec    0   2.45 MBytes       
[  5]   6.40-6.50   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   6.50-6.60   sec  1.25 MBytes   106 Mbits/sec    0   2.45 MBytes       
[  5]   6.60-6.70   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   6.70-6.80   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   6.80-6.90   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   6.90-7.00   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   7.00-7.10   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   7.10-7.20   sec  1.25 MBytes   104 Mbits/sec    0   2.45 MBytes       
[  5]   7.20-7.30   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   7.30-7.40   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   7.40-7.50   sec  1.25 MBytes   104 Mbits/sec    0   2.45 MBytes       
[  5]   7.50-7.60   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   7.60-7.70   sec  1.25 MBytes   104 Mbits/sec    0   2.45 MBytes       
[  5]   7.70-7.80   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   7.80-7.90   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   7.90-8.00   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   8.00-8.10   sec  1.25 MBytes   106 Mbits/sec    0   2.45 MBytes       
[  5]   8.10-8.20   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   8.20-8.30   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   8.30-8.40   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   8.40-8.50   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   8.50-8.60   sec  0.00 Bytes  0.00 bits/sec    0   2.45 MBytes       
[  5]   8.60-8.70   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   8.70-8.80   sec  1.25 MBytes   105 Mbits/sec    0   2.45 MBytes       
[  5]   8.80-8.90   sec  1.25 MBytes   105 Mbits/sec    0   2.49 MBytes       
[  5]   8.90-9.00   sec  1.25 MBytes   105 Mbits/sec    0   2.49 MBytes       
[  5]   9.00-9.10   sec  1.25 MBytes   104 Mbits/sec    0   2.49 MBytes       
[  5]   9.10-9.20   sec  0.00 Bytes  0.00 bits/sec    0   2.49 MBytes       
[  5]   9.20-9.30   sec  1.25 MBytes   105 Mbits/sec    0   2.49 MBytes       
[  5]   9.30-9.40   sec  1.25 MBytes   105 Mbits/sec    0   2.49 MBytes       
[  5]   9.40-9.50   sec  1.25 MBytes   105 Mbits/sec    0   2.49 MBytes       
[  5]   9.50-9.60   sec  0.00 Bytes  0.00 bits/sec    0   2.49 MBytes       
[  5]   9.60-9.70   sec  1.25 MBytes   105 Mbits/sec    0   2.49 MBytes       
[  5]   9.70-9.80   sec  1.25 MBytes   104 Mbits/sec    0   2.80 MBytes       
[  5]   9.80-9.90   sec  1.25 MBytes   105 Mbits/sec    0   2.80 MBytes       
[  5]   9.90-10.00  sec  1.25 MBytes   106 Mbits/sec    0   2.80 MBytes       
[  5]  10.00-10.10  sec  0.00 Bytes  0.00 bits/sec    0   2.80 MBytes       
[  5]  10.10-10.20  sec  1.25 MBytes   104 Mbits/sec    0   2.80 MBytes       
[  5]  10.20-10.30  sEnd time: 1747685251610
